year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
2010,1,1,23,4,-17,41,1020,-5,cv,0.89,0,0,129.0 
2010,1,2,0,4,-16,38,1020,-4,SE,1.79,0,0,148.0 
2010,1,2,1,4,-15,42,1020,-4,SE,2.68,0,0,159.0 
2010,1,2,2,4,-11,63.5,1021,-5,SE,3.57,0,0,181.0 
2010,1,2,3,4,-7,85,1022,-5,SE,5.36,0,0,138.0 
2010,1,2,4,4,-7,85,1022,-5,SE,6.25,0,0,109.0 
2010,1,2,5,4,-7,92,1022,-6,SE,7.14,0,0,105.0 
2010,1,2,6,4,-7,92,1023,-6,SE,8.93,0,0,124.0 
2010,1,2,7,4,-7,85,1024,-5,SE,10.72,0,0,120.0 
2010,1,2,8,4,-8,85,1024,-6,SE,12.51,0,0,132.0 
2010,1,2,9,4,-7,85,1025,-5,SE,14.3,0,0,140.0 
2010,1,2,10,4,-7,85,1026,-5,SE,17.43,0,0,152.0 
2010,1,2,11,4,-8,79,1026,-5,SE,20.56,0,0,148.0 
2010,1,2,12,4,-8,79,1026,-5,SE,23.69,0,0,164.0 
2010,1,2,13,4,-8,79,1025,-5,SE,27.71,0,0,158.0 
2010,1,2,14,4,-9,73,1025,-5,SE,31.73,0,0,154.0 
2010,1,2,15,4,-9,73,1025,-5,SE,35.75,0,0,159.0 
2010,1,2,16,4,-9,73,1026,-5,SE,37.54,0,0,164.0 
2010,1,2,17,4,-8,79,1027,-5,SE,39.33,0,0,170.0 
2010,1,2,18,4,-8,79,1027,-5,SE,42.46,0,0,149.0 
2010,1,2,19,4,-8,79,1028,-5,SE,44.25,0,0,154.0 
2010,1,2,20,4,-7,85,1028,-5,SE,46.04,0,0,164.0 
2010,1,2,21,4,-7,85,1027,-5,SE,49.17,0,0,156.0 
2010,1,2,22,4,-8,85,1028,-6,SE,52.3,0,0,126.0 
2010,1,2,23,4,-8,85,1027,-6,SE,55.43,0,0,90.0 
2010,1,3,0,4,-7,92,1027,-6,SE,58.56,0.4,0.4,63.0 
2010,1,3,1,4,-8,85,1026,-6,SE,61.69,0.5,0.9,65.0 
2010,1,3,2,4,-8,92,1026,-7,SE,65.71,0.5,1.4,55.0 
2010,1,3,3,4,-8,92,1025,-7,SE,68.84,0.7,2.1,65.0 
2010,1,3,4,4,-8,92,1024,-7,SE,72.86,1.2,3.3,83.0 
2010,1,3,5,4,-9,92,1024,-8,SE,76.88,0.7,4,91.0 
2010,1,3,6,4,-10,85,1024,-8,SE,80.9,1,5,86.0 
2010,1,3,7,4,-10,92,1024,-9,SE,84.92,0.7,5.7,82.0 
2010,1,3,8,4,-10,92,1024,-9,SE,89.84,0.5,6.2,86.0 
2010,1,3,9,4,-11,85,1023,-9,SE,93.86,0.7,6.9,78.0 
2010,1,3,10,4,-11,85,1023,-9,SE,97.88,0.4,7.3,98.0 
2010,1,3,11,4,-11,85,1022,-9,SE,102.8,0.5,7.8,107.0 
2010,1,3,12,4,-11,85,1021,-9,SE,105.93,1.1,8.9,90.0 
2010,1,3,13,4,-11,85,1020,-9,SE,111.74,0.5,9.4,96.0 
2010,1,3,14,4,-11,85,1020,-9,SE,116.66,0.3,9.7,95.0 
2010,1,3,15,4,-11,85,1020,-9,SE,121.58,0.5,10.2,86.0 
2010,1,3,16,4,-11,85,1020,-9,SE,124.71,0.2,10.4,70.0 
2010,1,3,17,4,-11,85,1020,-9,SE,127.84,0.1,10.5,61.0 
2010,1,3,18,4,-11,85,1021,-9,cv,0.89,0.4,10.9,53.0 
2010,1,3,19,4,-11,85,1022,-9,cv,1.78,0.3,11.2,71.0 
2010,1,3,20,4,-10,92,1022,-9,NW,4.02,0,0,72.0 
2010,1,3,21,4,-11,92,1023,-10,NW,7.15,0,0,76.0 
2010,1,3,22,4,-11,85,1023,-9,NW,11.17,0,0,73.0 
2010,1,3,23,4,-12,92,1023,-11,NW,14.3,0,0,79.0 
2010,1,4,0,4,-14,85,1023,-12,NW,16.09,0,0,58.0 
2010,1,4,1,4,-16,56,1023,-9,NW,21.9,0,0,25.0 
2010,1,4,2,4,-17,56,1024,-10,NW,29.95,0,0,26.0 
2010,1,4,3,4,-18,56,1024,-11,NW,39.78,0,0,28.0 
2010,1,4,4,4,-19,51,1025,-11,NW,48.72,0,0,26.0 
2010,1,4,5,4,-20,51,1026,-12,NW,55.87,0,0,20.0 
2010,1,4,6,4,-21,47,1027,-12,NW,64.81,0,0,29.0 
2010,1,4,7,4,-21,51,1027,-13,NW,73.75,0,0,26.0 
2010,1,4,8,4,-22,46,1028,-13,NW,80.9,0,0,27.0 
2010,1,4,9,4,-22,46,1029,-13,NW,90.73,0,0,27.0 
2010,1,4,10,4,-22,43,1030,-12,NW,100.56,0,0,25.0 
2010,1,4,11,4,-23,39,1031,-12,NW,108.61,0,0,29.0 
2010,1,4,12,4,-21,43,1030,-11,NW,117.55,0,0,32.0 
2010,1,4,13,4,-20,43,1030,-10,NW,127.38,0,0,28.0 
2010,1,4,14,4,-21,40,1030,-10,NW,136.32,0,0,29.0 
2010,1,4,15,4,-21,37,1030,-9,NW,145.26,0,0,30.0 
2010,1,4,16,4,-21,37,1031,-9,NW,152.41,0,0,30.0 
2010,1,4,17,4,-20,47,1032,-11,NW,159.56,0,0,28.0 
2010,1,4,18,4,-23,36,1032,-11,NW,165.37,0,0,26.0 
2010,1,4,19,4,-21,47,1033,-12,NW,171.18,0,0,31.0 
2010,1,4,20,4,-24,36,1034,-12,NW,180.12,0,0,33.0 
2010,1,4,21,4,-24,39,1034,-13,NW,187.27,0,0,29.0 
2010,1,4,22,4,-24,39,1035,-13,NW,195.32,0,0,31.0 
2010,1,4,23,4,-26,38,1035,-15,NW,198.45,0,0,30.0 
2010,1,5,0,4,-26,45,1035,-17,NW,201.58,0,0,34.0 
2010,1,5,1,4,-26,49,1035,-18,NW,205.6,0,0,27.0 
2010,1,5,2,4,-26,53,1035,-19,NW,208.73,0,0,25.0 
2010,1,5,3,4,-27,45,1035,-18,NW,213.65,0,0,28.0 
2010,1,5,4,4,-27,49,1035,-19,NW,218.57,0,0,28.0 
2010,1,5,5,4,-27,38,1034,-16,NE,4.92,0,0,27.0 
2010,1,5,6,4,-26,41,1035,-16,NE,8.05,0,0,27.0 
2010,1,5,7,4,-27,38,1034,-16,NE,13.86,0,0,27.0 
2010,1,5,8,4,-26,41,1035,-16,NE,18.78,0,0,29.0 
2010,1,5,9,4,-26,38,1035,-15,NE,24.59,0,0,36.0 
2010,1,5,10,4,-25,38,1035,-14,NE,29.51,0,0,30.0 
2010,1,5,11,4,-25,35,1035,-13,NE,34.43,0,0,27.0 
2010,1,5,12,4,-25,33,1034,-12,NE,39.35,0,0,39.0 
2010,1,5,13,4,-24,33,1032,-11,NE,41.14,0,0,41.0 
2010,1,5,14,4,-22,39,1032,-11,cv,0.89,0,0,33.0 
2010,1,5,15,4,-23,36,1031,-11,NW,1.79,0,0,50.0 
2010,1,5,16,4,-24,33,1031,-11,NW,3.58,0,0,56.0 
2010,1,5,17,4,-23,36,1031,-11,NW,5.37,0,0,59.0 
2010,1,5,18,4,-23,36,1032,-11,NW,7.16,0,0,60.0 
2010,1,5,19,4,-22,46,1033,-13,NW,10.29,0,0,84.0 
2010,1,5,20,4,-22,43,1033,-12,NW,13.42,0,0,106.0 
2010,1,5,21,4,-24,59,1033,-18,NW,16.55,0,0,66.0 
2010,1,5,22,4,-22,46,1034,-13,NW,20.57,0,0,50.0 
2010,1,5,23,4,-22,59,1033,-16,NW,23.7,0,0,56.0 
2010,1,6,0,4,-25,49,1033,-17,NW,26.83,0,0,77.0 
2010,1,6,1,4,-25,38,1033,-14,NE,4.02,0,0,50.0 
2010,1,6,2,4,-26,35,1034,-14,NE,8.04,0,0,44.0 
2010,1,6,3,4,-26,35,1033,-14,NE,13.85,0,0,27.0 
2010,1,6,4,4,-26,35,1033,-14,NE,17.87,0,0,28.0 
2010,1,6,5,4,-26,35,1033,-14,NE,23.68,0,0,21.0 
2010,1,6,6,4,-26,35,1033,-14,NE,28.6,0,0,25.0 
2010,1,6,7,4,-26,38,1034,-15,NE,33.52,0,0,20.0 
2010,1,6,8,4,-26,35,1034,-14,NE,39.33,0,0,29.0 
2010,1,6,9,4,-25,35,1035,-13,NE,44.25,0,0,34.0 
2010,1,6,10,4,-25,33,1035,-12,NE,50.06,0,0,42.0 
2010,1,6,11,4,-24,33,1035,-11,NE,54.98,0,0,28.0 
2010,1,6,12,4,-24,30,1034,-10,NE,59,0,0,36.0 
2010,1,6,13,4,-22,36,1033,-10,NW,4.02,0,0,48.0 
2010,1,6,14,4,-22,34,1033,-9,NW,5.81,0,0,49.0 
2010,1,6,15,4,-22,31,1033,-8,cv,0.89,0,0,52.0 
2010,1,6,16,4,-22,31,1033,-8,NW,1.79,0,0,56.0 
2010,1,6,17,4,-21,37,1033,-9,NW,3.58,0,0,96.0 
2010,1,6,18,4,-22,34,1033,-9,NW,5.37,0,0,75.0 
2010,1,6,19,4,-22,50,1034,-14,cv,0.89,0,0,105.0 
2010,1,6,20,4,-22,43,1035,-12,NW,1.79,0,0,132.0 
2010,1,6,21,4,-21,55,1034,-14,NW,3.58,0,0,93.0 
2010,1,6,22,4,-22,59,1035,-16,NW,5.37,0,0,131.0 
2010,1,6,23,4,-21,65,1035,-16,NW,7.16,0,0,127.0 
2010,1,7,0,4,-21,65,1035,-16,NW,8.95,0,0,130.0 
2010,1,7,1,4,-21,65,1035,-16,cv,0.45,0,0,43.0 
2010,1,7,2,4,-22,70,1036,-18,cv,1.34,0,0,37.0 
2010,1,7,3,4,-23,50,1036,-15,NW,4.02,0,0,30.0 
2010,1,7,4,4,-24,50,1035,-16,NW,7.15,0,0,28.0 
2010,1,7,5,4,-25,42,1035,-15,NW,10.28,0,0,24.0 
2010,1,7,6,4,-24,46,1035,-15,NW,14.3,0,0,23.0 
2010,1,7,7,4,-25,35,1036,-13,NE,4.92,0,0,24.0 
2010,1,7,8,4,-24,42,1036,-14,NW,4.02,0,0,27.0 
2010,1,7,9,4,-23,39,1036,-12,NW,8.94,0,0,40.0 
2010,1,7,10,4,-22,39,1036,-11,NW,12.96,0,0,42.0 
2010,1,7,11,4,-20,43,1036,-10,NW,16.09,0,0,42.0 
2010,1,7,12,4,-21,37,1035,-9,NW,19.22,0,0,55.0 
2010,1,7,13,4,-21,34,1034,-8,NW,21.01,0,0,52.0 
2010,1,7,14,4,-20,34,1033,-7,NW,22.8,0,0,51.0 
2010,1,7,15,4,-20,34,1032,-7,NW,24.59,0,0,57.0 
2010,1,7,16,4,-18,44,1032,-8,NW,26.38,0,0,50.0 
2010,1,7,17,4,-19,44,1032,-9,NW,28.17,0,0,54.0 
2010,1,7,18,4,-19,51,1032,-11,NE,0.89,0,0,67.0 
2010,1,7,19,4,-18,56,1033,-11,NW,1.79,0,0,106.0 
2010,1,7,20,4,-19,71,1032,-15,NE,1.79,0,0,159.0 
2010,1,7,21,4,-19,65,1032,-14,cv,0.45,0,0,198.0 
2010,1,7,22,4,-21,55,1032,-14,cv,1.34,0,0,190.0 
2010,1,7,23,4,-21,65,1032,-16,cv,2.23,0,0,210.0 
2010,1,8,0,4,-21,71,1031,-17,NW,1.79,0,0,195.0 
2010,1,8,1,4,-19,77,1031,-16,NW,3.58,0,0,275.0 
2010,1,8,2,4,-20,71,1031,-16,NE,0.89,0,0,164.0 
2010,1,8,3,4,-19,71,1030,-15,SE,0.89,0,0,110.0 
2010,1,8,4,4,-18,77,1030,-15,cv,0.45,0,0,100.0 
2010,1,8,5,4,-18,77,1029,-15,cv,1.34,0,0,81.0 
2010,1,8,6,4,-18,77,1029,-15,NW,1.79,0,0,71.0 
2010,1,8,7,4,-16,78,1029,-13,NE,0.89,0,0,66.0 
2010,1,8,8,4,-16,72,1029,-12,SE,0.89,0,0,92.0 
2010,1,8,9,4,-16,72,1030,-12,SE,1.78,0,0,135.0 
2010,1,8,10,4,-17,56,1030,-10,NE,0.89,0,0,155.0 
2010,1,8,11,4,-16,61,1029,-10,cv,0.89,0,0,198.0 
2010,1,8,12,4,-16,56,1028,-9,SE,3.13,0,0,250.0 
2010,1,8,13,4,-15,57,1026,-8,SE,4.92,0,0,200.0 
2010,1,8,14,4,-16,52,1026,-8,cv,0.89,0,0,231.0 
2010,1,8,15,4,-16,52,1025,-8,cv,1.78,0,0,250.0 
2010,1,8,16,4,-16,52,1025,-8,cv,2.67,0,0,212.0 
2010,1,8,17,4,-17,48,1025,-8,SE,0.89,0,0,219.0 
2010,1,8,18,4,-17,52,1026,-9,cv,0.45,0,0,227.0 
2010,1,8,19,4,-17,61,1026,-11,cv,1.34,0,0,226.0 
2010,1,8,20,4,-17,66,1026,-12,cv,1.79,0,0,225.0 
2010,1,8,21,4,-18,71,1027,-14,NW,1.79,0,0,168.0 
2010,1,8,22,4,-16,56,1027,-9,NW,4.92,0,0,169.0 
2010,1,8,23,4,-16,66,1027,-11,NW,6.71,0,0,165.0 
2010,1,9,0,4,-17,71,1027,-13,cv,0.89,0,0,159.0 
2010,1,9,1,4,-17,71,1027,-13,NW,3.13,0,0,167.0 
2010,1,9,2,4,-17,77,1027,-14,NW,4.92,0,0,196.0 
2010,1,9,3,4,-17,84,1027,-15,NW,8.05,0,0,169.0 
2010,1,9,4,4,-17,71,1027,-13,NW,9.84,0,0,155.0 
2010,1,9,5,4,-19,77,1027,-16,NW,13.86,0,0,119.0 
2010,1,9,6,4,-18,77,1027,-15,NW,17.88,0,0,106.0 
2010,1,9,7,4,-19,71,1027,-15,NW,21.9,0,0,93.0 
2010,1,9,8,4,-18,71,1028,-14,NW,25.92,0,0,84.0 
2010,1,9,9,4,-18,48,1029,-9,NE,5.81,0,0,73.0 
2010,1,9,10,4,-17,44,1029,-7,NE,11.62,0,0,66.0 
2010,1,9,11,4,-17,41,1030,-6,NE,17.43,0,0,40.0 
2010,1,9,12,4,-16,45,1029,-6,NE,23.24,0,0,49.0 
2010,1,9,13,4,-16,41,1029,-5,NE,28.16,0,0,50.0 
2010,1,9,14,4,-15,42,1029,-4,NE,33.08,0,0,49.0 
2010,1,9,15,4,-14,45,1028,-4,NE,37.1,0,0,41.0 
2010,1,9,16,4,-15,42,1029,-4,NE,38.89,0,0,37.0 
2010,1,9,17,4,-15,42,1030,-4,NW,1.79,0,0,45.0 
2010,1,9,18,4,-15,52,1030,-7,NE,3.13,0,0,44.0 
2010,1,9,19,4,-15,48,1031,-6,NW,3.13,0,0,54.0 
2010,1,9,20,4,-15,52,1032,-7,NW,4.92,0,0,50.0 
2010,1,9,21,4,-15,48,1032,-6,NE,3.13,0,0,47.0 
2010,1,9,22,4,-15,57,1033,-8,cv,0.45,0,0,66.0 
2010,1,9,23,4,-15,57,1033,-8,cv,0.9,0,0,75.0 
2010,1,10,0,4,-15,72,1033,-11,NW,0.89,0,0,82.0 
2010,1,10,1,4,-17,71,1033,-13,NW,1.78,0,0,66.0 
2010,1,10,2,4,-17,66,1033,-12,NW,4.91,0,0,83.0 
2010,1,10,3,4,-17,71,1033,-13,NW,8.04,0,0,62.0 
2010,1,10,4,4,-19,65,1032,-14,NW,9.83,0,0,40.0 
2010,1,10,5,4,-18,66,1032,-13,NW,12.96,0,0,23.0 
2010,1,10,6,4,-19,60,1032,-13,NW,16.09,0,0,25.0 
2010,1,10,7,4,-19,65,1033,-14,NW,19.22,0,0,27.0 
2010,1,10,8,4,-19,65,1034,-14,NW,22.35,0,0,35.0 
2010,1,10,9,4,-17,66,1033,-12,NW,24.14,0,0,50.0 
2010,1,10,10,4,-16,48,1033,-7,NE,4.02,0,0,70.0 
2010,1,10,11,4,-15,52,1033,-7,NW,3.13,0,0,75.0 
2010,1,10,12,4,-15,52,1032,-7,NW,6.26,0,0,58.0 
2010,1,10,13,4,-14,53,1031,-6,NW,9.39,0,0,70.0 
2010,1,10,14,4,-14,53,1031,-6,NW,12.52,0,0,68.0 
2010,1,10,15,4,-13,53,1030,-5,NW,14.31,0,0,71.0 
2010,1,10,16,4,-14,49,1031,-5,NW,16.1,0,0,88.0 
2010,1,10,17,4,-14,53,1031,-6,NW,19.23,0,0,84.0 
2010,1,10,18,4,-13,62,1032,-7,NW,23.25,0,0,83.0 
2010,1,10,19,4,-15,48,1032,-6,NW,27.27,0,0,66.0 
2010,1,10,20,4,-15,48,1033,-6,NW,30.4,0,0,27.0 
2010,1,10,21,4,-15,42,1034,-4,NW,35.32,0,0,24.0 
2010,1,10,22,4,-16,38,1034,-4,NW,44.26,0,0,22.0 
2010,1,10,23,4,-17,38,1035,-5,NW,52.31,0,0,23.0 
2010,1,11,0,4,-17,41,1035,-6,NW,60.36,0,0,27.0 
2010,1,11,1,4,-17,48,1035,-8,cv,0.89,0,0,23.0 
2010,1,11,2,4,-19,51,1036,-11,NW,4.02,0,0,17.0 
2010,1,11,3,4,-20,47,1036,-11,NW,8.94,0,0,17.0 
2010,1,11,4,4,-21,43,1035,-11,NE,4.02,0,0,16.0 
2010,1,11,5,4,-22,43,1035,-12,NW,3.13,0,0,16.0 
2010,1,11,6,4,-22,43,1035,-12,NE,4.92,0,0,20.0 
2010,1,11,7,4,-22,46,1036,-13,NW,5.81,0,0,20.0 
2010,1,11,8,4,-22,34,1036,-9,NW,13.86,0,0,18.0 
2010,1,11,9,4,-22,36,1036,-10,NW,21.91,0,0,25.0 
2010,1,11,10,4,-22,34,1036,-9,NW,29.06,0,0,26.0 
2010,1,11,11,4,-21,37,1036,-9,NW,33.08,0,0,27.0 
2010,1,11,12,4,-20,32,1035,-6,NW,42.02,0,0,28.0 
2010,1,11,13,4,-19,32,1034,-5,NW,50.96,0,0,15.0 
2010,1,11,14,4,-19,32,1033,-5,NW,59.01,0,0,24.0 
2010,1,11,15,4,-20,29,1033,-5,NW,66.16,0,0,13.0 
2010,1,11,16,4,-20,29,1032,-5,NW,71.97,0,0,13.0 
2010,1,11,17,4,-20,29,1033,-5,NW,76.89,0,0,13.0 
2010,1,11,18,4,-20,34,1033,-7,NW,81.81,0,0,17.0 
2010,1,11,19,4,-22,29,1033,-7,NW,85.83,0,0,20.0 
2010,1,11,20,4,-22,31,1033,-8,NW,89.85,0,0,27.0 
2010,1,11,21,4,-23,33,1033,-10,NW,91.64,0,0,20.0 
2010,1,11,22,4,-23,42,1033,-13,NW,93.43,0,0,15.0 
2010,1,11,23,4,-22,43,1032,-12,cv,0.89,0,0,21.0 
2010,1,12,0,4,-22,55,1031,-15,cv,1.78,0,0,21.0 
2010,1,12,1,4,-22,50,1031,-14,NE,1.79,0,0,37.0 
2010,1,12,2,4,-22,50,1031,-14,NW,0.89,0,0,26.0 
2010,1,12,3,4,-24,59,1030,-18,NE,1.79,0,0,15.0 
2010,1,12,4,4,-24,39,1030,-13,NE,3.58,0,0,9.0 
2010,1,12,5,4,-25,38,1030,-14,NW,3.13,0,0,11.0 
2010,1,12,6,4,-24,42,1030,-14,NW,7.15,0,0,11.0 
2010,1,12,7,4,-25,33,1030,-12,NW,12.96,0,0,16.0 
2010,1,12,8,4,-26,35,1030,-14,NW,16.98,0,0,13.0 
2010,1,12,9,4,-25,33,1031,-12,NW,21,0,0,15.0 
2010,1,12,10,4,-25,30,1031,-11,NW,26.81,0,0,21.0 
2010,1,12,11,4,-24,33,1030,-11,NW,35.75,0,0,24.0 
2010,1,12,12,4,-23,36,1029,-11,NW,47.82,0,0,22.0 
