year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
2012,5,14,14,1,4,24.24,1013.9,26,cv,2,0,0,45.9 
2012,6,4,23,2,18,88.28,1008.1,20,cv,4,0,0,68.9 
2012,6,5,15,2,19,88.37,1004.1,21,cv,4,0,0,97.8 
2012,6,5,16,2,20,83.25,1003.1,23,cv,4,0,0,88.8 
2012,6,5,17,2,18,73.5,1003.1,23,NE,2,0,0,65.9 
2012,6,5,18,2,18,69.2,1003.1,24,NE,4,0,0,85.8 
2012,6,5,19,2,19,78.24,1004.1,23,NE,7,0,0,79.8 
2012,6,5,20,2,18,73.5,1004.1,23,NE,9,0,0,72.9 
2012,6,5,21,2,18,78.09,1005.1,22,NE,12,0,0,83.8 
2012,6,5,22,2,18,78.09,1006.1,22,cv,2,0,0,74.9 
2012,6,5,23,2,18,73.5,1007.1,23,cv,3,0,0,151.7 
2012,6,6,0,2,19,88.37,1007.1,21,cv,3,0,0,74.9 
2012,6,6,1,2,19,88.37,1007.1,21,SW,1,0,0,74.9 
2012,6,6,2,2,19,88.37,1006.1,21,SW,2,0,0,74.9 
2012,6,6,3,2,19,88.37,1006.1,21,cv,0,0.5,0.5,75.8 
2012,6,6,4,2,19,88.37,1006.1,21,cv,0,0.7,1.2,73.9 
2012,6,6,5,2,19,93.98,1005.1,20,cv,0,0.1,1.3,68.9 
2012,6,6,6,2,19,93.98,1005.1,20,NW,1,0,0,69.9 
2012,6,6,7,2,19,93.98,1006.1,20,cv,0,0,0,73.9 
2012,6,6,8,2,19,93.98,1007.1,20,cv,0,0,0,80.8 
2012,6,6,9,2,20,94.03,1007.1,21,cv,0,0,0,90.8 
2012,6,6,10,2,20,94.03,1007.1,21,cv,0,0,0,111.8 
2012,6,6,11,2,20,94.03,1007.1,21,cv,1,0,0,120.8 
2012,6,6,12,2,20,88.45,1007.1,22,cv,1,0,0,124.8 
2012,6,6,13,2,20,88.45,1007.1,22,cv,1,0,0,119.8 
2012,6,6,14,2,19,78.24,1007.1,23,cv,1,0,0,118.8 
2012,6,6,15,2,20,83.25,1006.1,23,cv,2,0,0,97.8 
2012,6,6,16,2,19,78.24,1006.1,23,cv,2,0,0,98.8 
2012,6,6,17,2,20,83.25,1005.1,23,cv,4,0,0,98.8 
2012,6,6,18,2,20,83.25,1005.1,23,SW,2,0,0,124.8 
2012,6,6,19,2,20,88.45,1005.1,22,SW,4,0,0,145.7 
2012,6,6,20,2,20,88.45,1005.1,22,SW,5,0,0,160.7 
2012,6,6,21,2,20,88.45,1006.1,22,cv,0,0,0,173.7 
2012,6,6,22,2,20,94.03,1007.1,21,cv,0,0,0,154.7 
2012,6,6,23,2,19,88.37,1007.1,21,cv,1,0.2,0.2,3.0 
2012,6,7,0,2,19,88.37,1007.1,21,cv,2,0.8,1,116.8 
2012,6,7,1,2,19,88.37,1007.1,21,cv,3,2,3,112.8 
2012,6,7,2,2,19,88.37,1007.1,21,cv,3,0.6,3.6,107.8 
2012,6,7,3,2,19,93.98,1007.1,20,cv,5,0,0,86.8 
2012,6,7,4,2,19,93.98,1007.1,20,SW,2,0.3,0.3,84.8 
2012,6,7,5,2,19,93.98,1007.1,20,SW,4,0,0,69.9 
2012,6,7,6,2,19,93.98,1007.1,20,cv,2,0,0,58.9 
2012,6,7,7,2,18,93.94,1008.1,19,SW,3,0,0,58.9 
2012,6,7,8,2,18,93.94,1008.1,19,SW,6,0,0,43.9 
2012,6,7,9,2,19,93.98,1009.1,20,cv,2,0,0,44.9 
2012,6,7,12,2,17,54.39,1008.1,27,cv,5,0,0,16.0 
2012,6,7,13,2,16,51.05,1008.1,27,cv,7,0,0,15.0 
2012,6,7,14,2,17,48.42,1007.1,29,SE,2,0,0,20.0 
2012,6,7,15,2,17,48.42,1007.1,29,cv,1,0,0,14.0 
2012,6,7,16,2,16,45.44,1006.1,29,cv,2,0,0,13.0 
2012,6,7,17,2,17,45.72,1006.1,30,SE,3,0,0,17.0 
2012,6,7,18,2,16,45.44,1005.1,29,cv,1,0,0,9.0 
2012,6,7,19,2,18,54.65,1006.1,28,SW,2,0,0,17.0 
2012,6,7,20,2,19,65.41,1006.1,26,SW,4,0,0,6.0 
2012,6,7,21,2,20,78.39,1007.1,24,SE,2,0,0,1.0 
2012,6,7,22,2,18,69.2,1007.1,24,SE,4,0,0,2.0 
2012,6,7,23,2,19,78.24,1007.1,23,cv,1,0,0,7.0 
2012,6,8,0,2,19,83.13,1008.1,22,SW,2,0,0,6.0 
2012,6,8,1,2,19,78.24,1007.1,23,cv,2,0,0,19.0 
2012,6,8,2,2,18,73.5,1007.1,23,cv,4,0,0,14.0 
2012,6,8,3,2,19,83.13,1007.1,22,SW,1,0,0,15.0 
2012,6,8,4,2,19,83.13,1007.1,22,cv,0,0,0,8.0 
2012,6,8,5,2,19,83.13,1007.1,22,cv,0,0,0,10.0 
2012,6,8,6,2,20,88.45,1007.1,22,cv,0,0,0,6.0 
2012,6,8,7,2,20,94.03,1007.1,21,cv,0,0,0,9.0 
2012,6,8,8,2,20,88.45,1008.1,22,cv,0,0,0,22.0 
2012,6,8,9,2,20,83.25,1008.1,23,cv,1,0,0,3.0 
2012,6,8,10,2,20,78.39,1008.1,24,cv,1,0,0,2.0 
2012,6,8,11,2,20,78.39,1008.1,24,cv,1,0,0,13.0 
2012,6,8,12,2,20,78.39,1008.1,24,cv,2,0,0,7.0 
2012,6,8,13,2,19,65.41,1008.1,26,cv,3,0,0,11.0 
2012,6,8,14,2,19,65.41,1007.1,26,NE,2,0,0,11.0 
2012,6,8,15,2,19,61.67,1006.1,27,NE,4,0,0,6.0 
2012,6,8,16,2,19,58.17,1006.1,28,NE,7,0,0,12.0 
2012,6,8,17,2,18,54.65,1006.1,28,SE,3,0,0,8.0 
2012,6,8,18,2,19,61.67,1006.1,27,cv,2,0,0,6.0 
2012,6,8,19,2,19,65.41,1006.1,26,SE,1,0,0,18.0 
2012,6,8,20,2,20,73.84,1007.1,25,SW,1,0,0,17.0 
2012,6,8,21,2,20,73.84,1007.1,25,SW,3,0,0,18.0 
2012,6,8,22,2,21,83.37,1008.1,24,cv,0,0,0,9.0 
2012,6,8,23,2,20,83.25,1008.1,23,SW,1,0,0,8.0 
2012,6,9,0,2,20,83.25,1008.1,23,cv,0,0.5,0.5,4.0 
2012,6,9,2,2,21,88.54,1007.1,23,SW,4,1.3,1.9,2.0 
2012,6,9,3,2,20,94.03,1007.1,21,cv,2,0.8,2.7,19.0 
2012,6,9,4,2,19,88.37,1007.1,21,SW,1,0.6,3.3,11.0 
2012,6,9,5,2,19,88.37,1007.1,21,cv,0,0.5,3.8,9.0 
2012,6,9,6,2,19,88.37,1006.1,21,cv,2,0.4,4.2,5.0 
2012,6,9,7,2,19,88.37,1007.1,21,cv,4,0,0,5.0 
2012,6,9,8,2,19,88.37,1007.1,21,cv,4,0,0,2.0 
2012,6,9,10,2,20,83.25,1007.1,23,cv,4,0,0,1.0 
2012,6,9,11,2,20,78.39,1007.1,24,SW,2,0,0,3.0 
2012,6,9,12,2,19,65.41,1006.1,26,cv,2,0,0,6.0 
2012,6,9,13,2,17,48.42,1005.1,29,SW,1,0,0,5.0 
2012,6,9,14,2,16,42.9,1004.1,30,SW,3,0,0,7.0 
2012,6,9,15,2,17,48.42,1004.1,29,SW,6,0,0,4.0 
2012,6,9,16,2,17,43.18,1003.1,31,SE,2,0,0,9.0 
2012,6,9,17,2,15,40.24,1002,30,SW,3,0,0,9.0 
2012,6,9,18,2,16,45.44,1002,29,SW,6,0,0,8.0 
2012,6,9,19,2,17,51.31,1002,28,SW,8,0,0,5.0 
2012,6,9,20,2,18,54.65,1002,28,SW,10,0,0,4.0 
2012,6,9,21,2,18,57.93,1003.1,27,SW,12,0,0,7.0 
2012,6,9,22,2,20,65.62,1003.1,27,SW,14,0,0,7.0 
2012,6,9,23,2,20,69.6,1003.1,26,cv,1,0,0,4.0 
2012,6,10,0,2,20,73.84,1003.1,25,SW,2,0,0,10.0 
2012,6,10,1,2,20,73.84,1002,25,cv,1,0.1,0.1,9.0 
2012,6,10,2,2,21,83.37,1002,24,cv,2,0,0,20.0 
2012,6,10,3,2,21,88.54,1002,23,cv,2,0,0,7.0 
2012,6,10,4,2,22,94.12,1002,23,cv,3,0,0,10.0 
2012,6,10,5,2,21,88.54,1002,23,cv,3,0,0,17.0 
2012,6,10,6,2,21,88.54,1002,23,cv,3,0,0,8.0 
2012,6,10,7,2,22,94.12,1002,23,cv,3,0.1,0.1,16.0 
2012,6,10,8,2,21,83.37,1003.1,24,cv,3,0,0,10.0 
2012,6,10,9,2,22,88.62,1003.1,24,cv,3,0,0,5.0 
2012,6,10,10,2,22,83.48,1003.1,25,SW,3,0,0,8.0 
2012,6,10,11,2,20,69.6,1003.1,26,SW,6,0,0,6.0 
2012,6,10,12,2,20,61.9,1003.1,28,cv,2,0,0,3.0 
2012,6,10,13,2,16,42.9,1002,30,SW,2,0,0,3.0 
2012,6,10,14,2,13,33.39,1001,31,SW,4,0,0,6.0 
2012,6,10,15,2,14,31.83,1001,33,SE,2,0,0,3.0 
2012,6,10,16,2,14,33.67,1000,32,SW,2,0,0,3.0 
2012,6,10,17,2,15,35.91,1000,32,SW,5,0,0,8.0 
2012,6,10,18,2,13,33.39,1000,31,SW,8,0,0,9.0 
2012,6,10,19,2,15,40.24,1000,30,cv,1,0,0,10.0 
2012,6,10,20,2,19,58.17,1000,28,SW,2,0,0,8.0 
2012,6,10,21,2,20,65.62,1001,27,SW,4,0,0,19.0 
2012,6,10,22,2,20,69.6,1002,26,cv,2,0,0,8.0 
2012,6,11,0,2,21,78.53,1002,25,cv,1,0,0,5.0 
2012,6,11,1,2,21,78.53,1002,25,cv,1,1.1,1.1,1.0 
2012,6,11,2,2,22,88.62,1002,24,NW,2,0.2,1.3,19.0 
2012,6,11,3,2,21,83.37,1002,24,SW,4,0,0,15.0 
2012,6,11,4,2,22,88.62,1002,24,NE,2,0,0,17.0 
2012,6,11,5,2,22,88.62,1002,24,NW,1,0,0,8.0 
2012,6,11,6,2,17,69.01,1003.1,23,NW,3,0,0,1.0 
2012,6,11,8,2,16,64.76,1004.1,23,cv,0,0,0,5.0 
2012,6,11,9,2,15,57.2,1005.1,24,cv,1,0,0,5.0 
2012,6,11,10,2,16,57.44,1005.1,25,cv,2,0,0,3.0 
2012,7,1,7,2,22,94.12,1006.1,23,SW,1,0,0,50.9 
2012,7,1,8,2,22,94.12,1007.1,23,cv,0,0,0,50.9 
2012,7,1,9,2,22,88.62,1008.1,24,cv,1,0,0,39.9 
2012,7,1,10,2,22,88.62,1008.1,24,cv,2,0,0,64.9 
2012,7,1,11,2,22,83.48,1008.1,25,cv,2,0,0,63.9 
2012,7,1,12,2,22,78.68,1008.1,26,cv,3,0,0,61.9 
2012,7,1,13,2,20,65.62,1007.1,27,SW,1,0,0,53.9 
2012,7,1,14,2,21,65.83,1006.1,28,cv,0,0,0,61.9 
2012,7,1,15,2,20,61.9,1005.1,28,NE,2,0,0,88.8 
2012,7,1,16,2,20,61.9,1005.1,28,cv,2,0,0,88.8 
2012,7,1,17,2,21,65.83,1004.1,28,NE,4,0,0,40.9 
2012,7,1,18,2,21,69.79,1004.1,27,NE,7,0,0,44.9 
2012,7,1,19,2,21,69.79,1004.1,27,NW,3,0,0,57.9 
2012,7,1,20,2,22,78.68,1005.1,26,cv,1,0,0,58.9 
2012,7,1,21,2,22,83.48,1005.1,25,cv,2,0,0,50.9 
2012,7,1,22,2,22,83.48,1006.1,25,cv,3,0,0,53.9 
2012,7,2,0,2,22,88.62,1006.1,24,NW,1,0,0,44.9 
2012,7,2,1,2,22,88.62,1005.1,24,cv,1,0,0,37.9 
2012,7,2,2,2,22,88.62,1005.1,24,NW,1,0.8,0.8,46.9 
2012,7,2,3,2,22,94.12,1004.1,23,NW,2,0.2,1,44.9 
2012,7,2,4,2,22,94.12,1003.1,23,NW,3,0,0,41.9 
2012,7,2,5,2,22,94.12,1003.1,23,cv,0,0,0,53.9 
2012,7,2,6,2,22,94.12,1003.1,23,cv,0,0,0,58.9 
2012,7,2,7,2,22,94.12,1003.1,23,cv,0,1.1,1.1,66.9 
2012,7,2,8,2,23,94.16,1003.1,24,cv,0,0,0,72.9 
