year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
2011,11,21,13,3,13.9 ,64,1013.9 ,21.0 ,NE,10.9 ,0.0 ,0.0 ,48
2011,11,21,14,3,13.8 ,67,1012.7 ,20.1 ,NW,3.7 ,0.0 ,0.0 ,63
2011,11,21,15,3,14.3 ,68,1012.3 ,20.4 ,NW,6.5 ,0.0 ,0.0 ,71
2011,11,21,16,3,14.5 ,68,1012.0 ,20.6 ,NW,9.3 ,0.0 ,0.0 ,79
2011,11,21,17,3,14.2 ,69,1012.2 ,20.1 ,NE,2.2 ,0.0 ,0.0 ,78
2011,11,21,18,3,14.5 ,73,1012.4 ,19.5 ,NE,3.7 ,0.0 ,0.0 ,81
2011,11,21,19,3,14.7 ,74,1013.0 ,19.4 ,NW,1.5 ,0.0 ,0.0 ,98
2011,11,21,20,3,14.8 ,77,1013.5 ,18.9 ,NE,1.3 ,0.0 ,0.0 ,96
2011,11,21,21,3,14.8 ,78,1013.6 ,18.7 ,NE,2.7 ,0.0 ,0.0 ,88
2011,11,22,12,3,15.2 ,62,1013.9 ,22.9 ,NE,7.3 ,0.0 ,0.0 ,66
2011,11,22,13,3,16.1 ,60,1012.3 ,24.4 ,NE,8.8 ,0.0 ,0.0 ,58
2011,11,22,14,3,15.7 ,57,1011.4 ,24.8 ,NE,11.3 ,0.0 ,0.0 ,64
2011,11,22,15,3,15.5 ,58,1010.6 ,24.3 ,NE,14.1 ,0.0 ,0.0 ,55
2011,11,22,16,3,15.7 ,59,1010.5 ,24.2 ,NE,17.0 ,0.0 ,0.0 ,50
2011,11,22,17,3,15.9 ,65,1011.1 ,22.8 ,NE,18.5 ,0.0 ,0.0 ,64
2011,11,22,18,3,16.9 ,74,1011.4 ,21.7 ,NW,1.2 ,0.0 ,0.0 ,89
2011,11,22,19,3,17.7 ,84,1012.0 ,20.5 ,NE,1.5 ,0.0 ,0.0 ,84
2011,11,22,20,3,17.2 ,81,1012.7 ,20.6 ,cv,0.5 ,0.0 ,0.0 ,77
2011,11,22,21,3,17.1 ,84,1013.0 ,19.9 ,NW,1.4 ,0.0 ,0.0 ,75
2011,11,22,22,3,16.9 ,85,1013.7 ,19.5 ,NW,2.9 ,0.0 ,0.0 ,79
2011,11,22,23,3,16.8 ,90,1013.7 ,18.5 ,NW,4.4 ,0.0 ,0.0 ,79
2011,11,23,0,3,16.5 ,89,1013.4 ,18.3 ,NW,7.3 ,0.0 ,0.0 ,79
2011,11,23,1,3,16.4 ,85,1013.4 ,19.0 ,NW,11.4 ,0.0 ,0.0 ,84
2011,11,23,3,3,15.1 ,81,1012.3 ,18.4 ,NE,1.5 ,0.0 ,0.0 ,69
2011,11,23,4,3,13.3 ,74,1012.4 ,18.0 ,NE,4.4 ,0.0 ,0.0 ,66
2011,11,23,5,3,13.0 ,74,1012.5 ,17.7 ,NW,1.4 ,0.0 ,0.0 ,64
2011,11,23,6,3,13.0 ,79,1012.9 ,16.7 ,NW,2.2 ,0.0 ,0.0 ,62
2011,11,23,7,3,13.4 ,88,1013.6 ,15.4 ,NW,4.6 ,0.0 ,0.0 ,59
2011,11,23,8,3,11.7 ,69,1014.6 ,17.4 ,NE,2.5 ,0.0 ,0.0 ,60
2011,11,23,9,3,11.6 ,61,1015.3 ,19.3 ,NE,6.3 ,0.0 ,0.0 ,64
2011,11,23,10,3,11.3 ,52,1015.5 ,21.6 ,NE,9.5 ,0.0 ,0.0 ,68
2011,11,23,11,3,10.5 ,45,1014.7 ,23.1 ,NW,6.4 ,0.0 ,0.0 ,58
2011,11,23,12,3,10.7 ,43,1013.7 ,24.0 ,NE,5.2 ,0.0 ,0.0 ,57
2011,11,23,13,3,11.6 ,43,1012.5 ,25.0 ,NE,10.9 ,0.0 ,0.0 ,56
2011,11,23,14,3,11.8 ,43,1011.6 ,25.3 ,NE,17.1 ,0.0 ,0.0 ,47
2011,11,23,15,3,11.4 ,43,1011.5 ,24.8 ,NW,4.8 ,0.0 ,0.0 ,54
2011,11,23,16,3,11.7 ,44,1011.6 ,24.8 ,NE,4.8 ,0.0 ,0.0 ,59
2011,11,23,17,3,12.0 ,50,1012.1 ,23.0 ,NW,2.7 ,0.0 ,0.0 ,65
2011,11,23,18,3,12.9 ,62,1012.6 ,20.4 ,NE,3.1 ,0.0 ,0.0 ,75
2011,11,23,19,3,13.5 ,71,1013.1 ,18.9 ,NE,6.5 ,0.0 ,0.0 ,76
2011,11,23,20,3,12.9 ,72,1013.8 ,18.0 ,NE,9.7 ,0.0 ,0.0 ,79
2011,11,23,21,3,12.6 ,75,1014.3 ,17.1 ,NE,12.2 ,0.0 ,0.0 ,61
2011,11,23,22,3,12.8 ,82,1014.4 ,15.9 ,NE,14.4 ,0.0 ,0.0 ,50
2011,11,23,23,3,11.0 ,70,1014.5 ,16.5 ,NW,1.0 ,0.0 ,0.0 ,61
2011,11,24,0,3,10.5 ,67,1014.4 ,16.6 ,NW,3.0 ,0.0 ,0.0 ,60
2011,11,24,1,3,10.2 ,68,1014.3 ,16.1 ,NW,5.4 ,0.0 ,0.0 ,61
2011,11,24,2,3,9.9 ,68,1014.2 ,15.8 ,NW,8.4 ,0.0 ,0.0 ,64
2011,11,24,3,3,9.8 ,69,1014.0 ,15.5 ,NW,10.6 ,0.0 ,0.0 ,67
2011,11,24,4,3,10.1 ,75,1014.0 ,14.5 ,NW,12.4 ,0.0 ,0.0 ,63
2011,11,24,5,3,9.5 ,73,1014.1 ,14.3 ,NW,14.5 ,0.0 ,0.0 ,63
2011,11,24,6,3,8.8 ,69,1014.4 ,14.4 ,NW,15.9 ,0.0 ,0.0 ,56
2011,11,24,7,3,8.5 ,69,1014.8 ,14.1 ,NE,1.2 ,0.0 ,0.0 ,57
2011,11,24,8,3,8.9 ,61,1015.7 ,16.4 ,SE,0.7 ,0.0 ,0.0 ,49
2011,11,24,9,3,8.9 ,56,1015.8 ,17.8 ,NW,3.0 ,0.0 ,0.0 ,48
2011,11,24,10,3,8.2 ,47,1015.7 ,19.8 ,NE,2.8 ,0.0 ,0.0 ,52
2011,11,24,11,3,8.7 ,44,1015.1 ,21.5 ,NE,6.7 ,0.0 ,0.0 ,49
2011,11,24,12,3,8.8 ,42,1014.4 ,22.3 ,NE,9.2 ,0.0 ,0.0 ,49
2011,11,24,13,3,8.4 ,38,1013.2 ,23.5 ,NE,10.7 ,0.0 ,0.0 ,47
2011,11,24,14,3,8.4 ,36,1011.9 ,24.4 ,NE,13.9 ,0.0 ,0.0 ,48
2011,11,24,15,3,7.8 ,35,1011.3 ,24.2 ,NE,16.1 ,0.0 ,0.0 ,50
2011,11,24,16,3,9.2 ,39,1010.9 ,24.0 ,NE,17.5 ,0.0 ,0.0 ,53
2011,11,24,17,3,11.7 ,50,1010.9 ,22.6 ,NW,1.1 ,0.0 ,0.0 ,46
2011,11,24,18,3,13.3 ,68,1011.4 ,19.3 ,NE,1.7 ,0.0 ,0.0 ,60
2011,11,24,19,3,13.9 ,78,1012.2 ,17.8 ,NW,1.6 ,0.0 ,0.0 ,60
2011,11,24,20,3,13.9 ,84,1012.7 ,16.6 ,NE,2.0 ,0.0 ,0.0 ,55
2011,11,24,21,3,13.8 ,88,1013.2 ,15.8 ,NE,3.7 ,0.0 ,0.0 ,63
2011,11,24,22,3,13.6 ,88,1013.5 ,15.6 ,NE,5.6 ,0.0 ,0.0 ,71
2011,11,24,23,3,13.2 ,87,1013.3 ,15.3 ,NW,1.6 ,0.0 ,0.0 ,58
2011,11,25,0,3,13.4 ,89,1013.3 ,15.2 ,NE,1.6 ,0.0 ,0.0 ,92
2011,11,25,1,3,13.6 ,87,1013.1 ,15.8 ,NW,1.7 ,0.0 ,0.0 ,88
2011,11,25,2,3,13.4 ,85,1013.0 ,15.9 ,NW,3.3 ,0.0 ,0.0 ,110
2011,11,25,3,3,13.7 ,85,1012.5 ,16.2 ,NW,5.1 ,0.0 ,0.0 ,89
2011,11,25,4,3,13.2 ,82,1012.1 ,16.3 ,NW,6.7 ,0.0 ,0.0 ,76
2011,11,25,5,3,13.2 ,83,1012.4 ,16.1 ,NW,7.8 ,0.0 ,0.0 ,56
2011,11,25,6,3,13.1 ,81,1012.8 ,16.4 ,NE,1.6 ,0.0 ,0.0 ,69
2011,11,25,7,3,12.4 ,75,1013.5 ,16.9 ,NE,3.1 ,0.0 ,0.0 ,61
2011,11,25,8,3,12.7 ,74,1014.0 ,17.4 ,NW,1.3 ,0.0 ,0.0 ,67
2011,11,25,9,3,12.3 ,65,1014.3 ,19.0 ,NE,1.7 ,0.0 ,0.0 ,50
2011,11,25,10,3,11.6 ,55,1014.8 ,21.0 ,NE,3.6 ,0.0 ,0.0 ,48
2011,11,25,11,3,11.7 ,53,1013.9 ,21.7 ,NE,6.7 ,0.0 ,0.0 ,44
2011,11,25,12,3,12.1 ,51,1013.2 ,22.7 ,NE,9.5 ,0.0 ,0.0 ,50
2011,11,25,13,3,12.0 ,52,1012.1 ,22.3 ,NE,11.1 ,0.0 ,0.0 ,56
2011,11,25,14,3,12.4 ,53,1011.4 ,22.4 ,NE,12.7 ,0.0 ,0.0 ,48
2011,11,25,15,3,13.1 ,56,1010.7 ,22.3 ,NE,14.8 ,0.0 ,0.0 ,53
2011,11,25,16,3,13.7 ,61,1010.3 ,21.5 ,NE,17.5 ,0.0 ,0.0 ,60
2011,11,25,17,3,14.4 ,68,1010.9 ,20.5 ,NE,19.4 ,0.0 ,0.0 ,64
2011,11,25,18,3,15.0 ,75,1010.9 ,19.5 ,NE,20.9 ,0.0 ,0.0 ,79
2011,11,25,19,3,15.3 ,80,1011.6 ,18.8 ,NW,1.4 ,0.0 ,0.0 ,77
2011,11,25,20,3,15.4 ,85,1012.2 ,18.0 ,NE,1.0 ,0.0 ,0.0 ,85
2011,11,25,21,3,15.3 ,85,1012.9 ,17.9 ,NW,1.5 ,0.0 ,0.0 ,84
2011,11,25,22,3,15.3 ,85,1012.8 ,17.9 ,NE,1.3 ,0.0 ,0.0 ,79
2011,11,25,23,3,15.5 ,87,1012.8 ,17.7 ,NE,2.8 ,0.0 ,0.0 ,82
2011,11,26,0,3,14.8 ,84,1012.5 ,17.5 ,NW,1.4 ,0.0 ,0.0 ,82
2011,11,26,1,3,14.9 ,86,1012.4 ,17.3 ,NW,2.4 ,0.0 ,0.0 ,78
2011,11,26,2,3,14.7 ,86,1012.2 ,17.1 ,NW,3.5 ,0.0 ,0.0 ,66
2011,11,26,3,3,14.9 ,88,1012.0 ,16.9 ,NW,5.0 ,0.0 ,0.0 ,66
2011,11,26,4,3,15.0 ,89,1011.2 ,16.8 ,NE,1.5 ,0.0 ,0.0 ,57
2011,11,26,5,3,14.7 ,87,1011.2 ,16.9 ,NE,2.5 ,0.0 ,0.0 ,55
2011,11,26,6,3,14.9 ,89,1011.4 ,16.7 ,NE,4.3 ,0.0 ,0.0 ,92
2011,11,26,7,3,14.9 ,87,1011.7 ,17.1 ,NW,1.8 ,0.0 ,0.0 ,91
