year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
2011,12,28,18,4,4,62,1027.1,11,NE,8,0,0,36.0 
2011,12,28,19,4,4,62,1027.1,11,NE,9,0,0,41.0 
2011,12,28,20,4,5,71.07,1028.1,10,NE,11,0,0,44.0 
2011,12,28,21,4,5,71.07,1028.1,10,NE,13,0,0,40.0 
2011,12,28,22,4,6,76.18,1028.1,10,NE,15,0,0,25.0 
2011,12,28,23,4,6,76.18,1028.1,10,NE,17,0,0,28.0 
2011,12,29,0,4,6,76.18,1028.1,10,NE,19,0,0,34.0 
2011,12,29,1,4,5,76.01,1028.1,9,NE,21,0,0,25.0 
2011,12,29,2,4,5,76.01,1028.1,9,NE,23,0,0,27.0 
2011,12,29,3,4,5,81.34,1028.1,8,NE,25,0,0,35.0 
2011,12,29,4,4,5,81.34,1027.1,8,NE,29,0,0,33.0 
2011,12,29,5,4,4,70.88,1028.1,9,NE,34,0,0,34.0 
2011,12,29,6,4,4,70.88,1028.1,9,NE,37,0,0,36.0 
2011,12,29,7,4,4,70.88,1029.1,9,NE,40,0,0,40.0 
2011,12,29,8,4,4,70.88,1030.1,9,NE,44,0,0,41.0 
2011,12,29,9,4,4,66.27,1030.1,10,NE,49,0,0,40.0 
2011,12,29,10,4,4,62,1030.1,11,NE,55,0,0,40.0 
2011,12,29,12,4,3,57.77,1030.1,11,NE,66,0,0,38.0 
2011,12,29,13,4,1,50.08,1029.1,11,NE,71,0,0,30.0 
2011,12,29,14,4,2,53.81,1028.1,11,NE,76,0,0,42.0 
2011,12,29,15,4,3,61.76,1028.1,10,NE,83,0,0,40.0 
2011,12,29,16,4,3,61.76,1029.1,10,NE,89,0,0,40.0 
2011,12,29,17,4,3,66.05,1029.1,9,NE,95,0,0,79.0 
2011,12,29,18,4,3,66.05,1031.2,9,NE,102,0,0,94.0 
2011,12,29,19,4,3,70.67,1031.2,8,NE,108,0,0,126.0 
2011,12,29,20,4,3,75.67,1031.2,7,NE,115,0,0,125.0 
2011,12,29,21,4,3,75.67,1031.2,7,NE,120,0,0,105.0 
2011,12,29,22,4,3,81.06,1031.2,6,NE,125,0,0,73.0 
2011,12,29,23,4,1,70.27,1031.8,6,NE,131,0,0,47.0 
2011,12,30,0,4,1,70.27,1031.8,6,NE,136,0,0,35.0 
2011,12,30,1,4,0,65.36,1031.8,6,NE,141,0,0,30.0 
2011,12,30,2,4,0,70.06,1031.8,5,NE,146,0,0,27.0 
2011,12,30,3,4,0,75.14,1031.8,4,NE,151,0,0,29.0 
2011,12,30,4,4,0,75.14,1031.8,4,NE,156,0,0,18.0 
2011,12,30,5,4,0,80.63,1032.9,3,NE,160,0,0,21.0 
2011,12,30,6,4,0,80.63,1032.9,3,NE,164,0,0,23.0 
2011,12,30,7,4,0,80.63,1033.9,3,NE,168,0,0,18.0 
2011,12,30,8,4,0,75.14,1033.9,4,NE,172,0,0,24.0 
2011,12,30,9,4,-1,60.76,1034.9,6,NE,177,0,0,19.0 
2011,12,30,10,4,-1,56.72,1034.9,7,NE,184,0,0,22.0 
2011,12,30,11,4,-1,52.98,1033.9,8,NE,189,0,0,27.0 
2011,12,30,12,4,-2,49.22,1032.9,8,NE,194,0,0,32.0 
2011,12,30,13,4,-1,52.98,1031.8,8,NE,200,0,0,46.0 
2011,12,30,14,4,-1,52.98,1031.8,8,NE,205,0,0,56.0 
2011,12,30,15,4,-2,49.22,1031.8,8,NE,210,0,0,64.0 
2011,12,30,16,4,-1,56.72,1032.9,7,NE,215,0,0,71.0 
