year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM
2013,1,1,0,4,-17,66.23,1016,-12,SE,24,0,0,146.5 
2013,1,1,1,4,-16,72.02,1016,-12,SE,26,0,0,141.5 
2013,1,1,3,4,-14,78.44,1016,-11,cv,1,0.1,0.1,131.5 
2013,1,1,4,4,-16,78.1,1016,-13,NW,2,0,0,107.5 
2013,1,1,5,4,-16,84.74,1016,-14,NE,1,0,0,130.5 
2013,1,1,6,4,-16,84.74,1016,-14,SW,3,0,0,149.5 
2013,1,1,7,4,-18,71.6,1018,-14,NW,5,0,0,125.5 
2013,1,1,8,4,-18,71.6,1019,-14,NW,9,0,0,84.5 
2013,1,1,9,4,-18,71.6,1020,-14,NW,12,0,0,54.5 
2013,1,1,10,4,-22,54.98,1021,-15,NW,19,0,0,26.0 
2013,1,1,11,4,-24,46.01,1021,-15,NW,24,0,0,24.5 
2013,1,1,13,4,-24,46.01,1022,-15,NW,33,0,0,10.0 
2013,1,1,14,4,-25,42.03,1022,-15,NW,37,0,0,7.0 
2013,1,1,15,4,-26,38.37,1023,-15,NW,41,0,0,8.5 
2013,1,1,16,4,-27,38.03,1024,-16,NW,44,0,0,11.5 
2013,1,1,17,4,-27,41.36,1024,-17,NW,47,0,0,19.0 
2013,1,1,18,4,-27,45.02,1025,-18,NW,49,0,0,29.0 
2013,1,1,19,4,-27,45.02,1026,-18,NW,52,0,0,28.5 
2013,1,1,20,4,-28,44.68,1026,-19,NW,53,0,0,21.0 
2013,1,1,21,4,-28,53.13,1026,-21,SE,2,0,0,21.5 
2013,1,1,22,4,-29,57.71,1026,-23,SE,4,0,0,49.0 
2013,1,1,23,4,-30,62.84,1027,-25,cv,1,0,0,44.5 
2013,1,2,0,4,-30,62.84,1027,-25,SW,2,0,0,34.5 
2013,1,2,2,4,-30,62.84,1028,-25,SW,5,0,0,24.0 
2013,1,2,3,4,-31,68.59,1028,-27,SW,7,0,0,16.0 
2013,1,2,4,4,-31,62.56,1029,-26,SW,8,0,0,24.0 
2013,1,2,5,4,-31,68.59,1029,-27,SW,10,0,0,15.5 
2013,1,2,6,4,-31,68.59,1030,-27,SW,12,0,0,12.0 
2013,1,2,7,4,-31,68.59,1031,-27,SE,1,0,0,14.5 
2013,1,2,8,4,-30,68.83,1032,-26,SW,2,0,0,18.5 
2013,1,2,9,4,-28,63.39,1033,-23,SW,4,0,0,22.0 
2013,1,2,11,4,-27,45.02,1034,-18,SW,10,0,0,25.5 
2013,1,2,12,4,-27,41.36,1034,-17,SW,13,0,0,25.0 
2013,1,2,13,4,-26,45.35,1035,-17,SW,16,0,0,21.5 
2013,1,2,14,4,-25,45.68,1035,-16,SW,20,0,0,20.0 
2013,1,2,15,4,-25,45.68,1035,-16,SW,23,0,0,15.5 
2013,1,2,16,4,-26,45.35,1035,-17,SW,25,0,0,43.0 
2013,1,2,17,4,-26,49.35,1036,-18,SW,27,0,0,97.0 
2013,1,2,18,4,-26,53.76,1036,-19,SE,3,0,0,135.5 
2013,1,2,19,4,-26,58.6,1036,-20,SW,2,0,0,142.0 
2013,1,2,20,4,-26,58.6,1037,-20,SW,5,0,0,165.5 
2013,1,2,22,4,-27,58.31,1037,-21,SW,9,0,0,150.5 
2013,1,2,23,4,-26,63.93,1038,-21,SW,10,0,0,127.0 
2013,1,3,0,4,-26,58.6,1038,-20,SW,13,0,0,85.5 
2013,1,3,1,4,-27,63.66,1038,-22,SW,14,0,0,22.5 
2013,1,3,2,4,-27,63.66,1039,-22,SW,15,0,0,17.5 
2013,1,3,3,4,-26,63.93,1039,-21,SW,17,0,0,14.0 
2013,1,3,4,4,-27,63.66,1039,-22,SW,19,0,0,10.0 
2013,1,3,5,4,-28,63.39,1039,-23,SE,2,0,0,11.5 
2013,1,3,6,4,-28,63.39,1040,-23,SW,2,0,0,18.0 
2013,1,3,7,4,-28,63.39,1040,-23,SE,1,0,0,22.5 
2013,1,3,8,4,-27,63.66,1041,-22,SE,3,0,0,32.5 
2013,1,3,9,4,-25,58.89,1041,-19,SE,5,0,0,66.0 
2013,1,3,10,4,-24,54.37,1041,-17,SE,7,0,0,31.0 
2013,1,3,11,4,-24,46.01,1041,-15,SW,2,0,0,33.0 
2013,1,3,12,4,-24,42.37,1040,-14,SW,5,0,0,48.5 
2013,1,3,13,4,-23,42.7,1039,-13,SW,8,0,0,80.0 
2013,1,3,14,4,-24,39.05,1039,-13,SW,11,0,0,83.0 
2013,1,3,15,4,-23,42.7,1039,-13,SW,13,0,0,82.5 
2013,1,3,16,4,-23,46.33,1039,-14,SW,15,0,0,96.0 
2013,1,3,17,4,-24,46.01,1038,-15,SE,2,0,0,95.0 
2013,1,3,18,4,-24,54.37,1038,-17,SE,4,0,0,92.0 
2013,1,3,19,4,-24,50,1038,-16,SE,7,0,0,89.0 
2013,1,3,20,4,-26,53.76,1038,-19,SE,9,0,0,146.0 
2013,1,3,21,4,-25,64.19,1038,-20,SE,11,0,0,141.5 
2013,1,3,22,4,-25,64.19,1038,-20,SE,13,0,0,129.0 
2013,1,3,23,4,-25,58.89,1037,-19,SE,16,0,0,119.5 
2013,1,4,0,4,-26,63.93,1036,-21,SE,18,0,0,119.0 
2013,1,4,1,4,-26,63.93,1036,-21,SE,20,0,0,128.0 
2013,1,4,2,4,-24,64.46,1036,-19,SE,22,0,0,146.5 
2013,1,4,3,4,-25,70.03,1035,-21,cv,2,0,0,184.0 
2013,1,4,4,4,-27,69.56,1035,-23,SE,1,0,0,224.0 
2013,1,4,5,4,-26,69.79,1034,-22,SE,3,0,0,247.0 
2013,1,4,6,4,-25,64.19,1034,-20,SE,5,0,0,268.0 
